Begins At,Sentiment,Vader Prediction
2/25/2018,neutral,0.01065
2/26/2018,negative,-0.051511111
2/27/2018,negative,-0.0625
2/28/2018,positive,0.05508
3/1/2018,negative,-0.09465
3/2/2018,positive,0.09368
3/3/2018,neutral,0.013175
3/4/2018,positive,0.061416667
3/5/2018,negative,-0.11578
3/6/2018,negative,-0.19965
3/7/2018,negative,-0.1336
3/8/2018,neutral,-0.00348
3/9/2018,negative,-0.15671
3/10/2018,negative,-0.1909
3/11/2018,negative,-0.07334
3/12/2018,negative,-0.17714
3/13/2018,positive,0.12105
3/14/2018,negative,-0.084411111
3/15/2018,neutral,-0.01538
3/16/2018,positive,0.16958
3/17/2018,neutral,-0.011133333
3/18/2018,neutral,-0.0155375
3/19/2018,neutral,-0.02063
3/20/2018,negative,-0.14139
3/21/2018,negative,-0.14491
3/22/2018,negative,-0.09332
3/23/2018,negative,-0.06886
3/24/2018,neutral,-0.0192
3/25/2018,neutral,0.01005
3/26/2018,positive,0.130455556
3/27/2018,neutral,-0.02422
3/28/2018,neutral,-0.04908
3/29/2018,negative,-0.14911
3/30/2018,negative,-0.115471429
3/31/2018,positive,0.1204
4/1/2018,positive,0.14792
4/2/2018,positive,0.11457
4/3/2018,neutral,-0.03635
4/4/2018,neutral,0.04046
4/5/2018,neutral,0.00134
4/6/2018,negative,-0.12122
4/7/2018,positive,0.187814286
4/8/2018,positive,0.063285714
4/9/2018,positive,0.05452
4/10/2018,negative,-0.067766667
4/11/2018,negative,-0.06871
4/12/2018,neutral,0.01447
4/13/2018,positive,0.081155556
4/14/2018,negative,-0.06824
4/15/2018,neutral,0.0407
4/16/2018,negative,-0.20333
4/17/2018,positive,0.08027
4/18/2018,neutral,-0.03055
4/19/2018,negative,-0.07626
4/20/2018,negative,-0.06204
4/21/2018,negative,-0.0538625
4/22/2018,neutral,0.02965
4/23/2018,neutral,0.02347
4/24/2018,negative,-0.32082
4/25/2018,positive,0.07993
4/26/2018,neutral,0.00201
4/27/2018,positive,0.15325
4/28/2018,positive,0.122371429
4/29/2018,positive,0.0517
4/30/2018,neutral,-0.0432
5/1/2018,neutral,0.034133333
5/2/2018,positive,0.07783
5/3/2018,negative,-0.07813
5/4/2018,neutral,0.03673
5/5/2018,positive,0.14996
5/6/2018,negative,-0.098666667
5/7/2018,positive,0.06151
5/8/2018,positive,0.11882
5/9/2018,positive,0.12326
5/10/2018,neutral,0.01715
5/11/2018,negative,-0.11614
5/12/2018,neutral,-0.030711111
5/13/2018,negative,-0.098642857
5/14/2018,negative,-0.08881
5/15/2018,negative,-0.08471
5/16/2018,negative,-0.13689
5/17/2018,neutral,0.04478
5/18/2018,neutral,-0.02092
5/19/2018,positive,0.210642857
5/20/2018,positive,0.12343
5/21/2018,neutral,-0.01148
5/22/2018,positive,0.240755556
5/23/2018,positive,0.05979
5/24/2018,negative,-0.07727
5/25/2018,positive,0.09488
5/26/2018,neutral,0.039916667
5/27/2018,positive,0.095011111
5/28/2018,negative,-0.14686
5/29/2018,positive,0.05032
5/30/2018,negative,-0.24108
5/31/2018,positive,0.05796
6/1/2018,positive,0.17309
6/2/2018,positive,0.168585714
6/3/2018,negative,-0.076233333
6/4/2018,positive,0.11927
6/5/2018,neutral,-0.013677778
6/6/2018,positive,0.18654
6/7/2018,neutral,0.02125
6/8/2018,positive,0.161455556
6/9/2018,neutral,0.011411111
6/10/2018,neutral,0.0278125
6/11/2018,neutral,0.03709
6/12/2018,neutral,0.0457
6/13/2018,positive,0.12286
6/14/2018,positive,0.0627
6/15/2018,neutral,0.02645
6/16/2018,neutral,-0.028022222
6/17/2018,positive,0.1026625
6/18/2018,positive,0.12637
6/19/2018,positive,0.10765
6/20/2018,negative,-0.06656
6/21/2018,neutral,-0.04973
6/22/2018,negative,-0.1824
6/23/2018,positive,0.112966667
6/24/2018,negative,-0.100142857
6/25/2018,negative,-0.10272
6/26/2018,positive,0.21413
6/27/2018,negative,-0.11153
6/28/2018,positive,0.16307
6/29/2018,neutral,-0.01704
6/30/2018,neutral,-0.04526
7/1/2018,positive,0.20276
7/2/2018,neutral,0.048
7/3/2018,negative,-0.064122222
7/4/2018,negative,-0.169
7/5/2018,positive,0.12311
7/6/2018,negative,-0.075888889
7/7/2018,negative,-0.05135
7/8/2018,negative,-0.123514286
7/9/2018,positive,0.05506
7/10/2018,neutral,0.03803
7/11/2018,negative,-0.12092
7/12/2018,neutral,-0.026418182
7/13/2018,positive,0.11971
7/14/2018,positive,0.203942857
7/15/2018,negative,-0.10988
7/16/2018,positive,0.22489
7/17/2018,neutral,-0.007920000
7/18/2018,negative,-0.05157
7/19/2018,positive,0.07934
7/20/2018,positive,0.2011
7/21/2018,neutral,0.00945
7/22/2018,positive,0.1316
7/23/2018,positive,0.24049
7/24/2018,positive,0.14741
7/25/2018,neutral,0.005772727
7/26/2018,negative,-0.22922
7/27/2018,negative,-0.2068
7/28/2018,negative,-0.059325
7/29/2018,positive,0.0735
7/30/2018,positive,0.13062
7/31/2018,neutral,0.031711111
8/1/2018,neutral,-0.02641
8/2/2018,positive,0.15712
8/3/2018,neutral,0.03119
8/4/2018,neutral,-0.0499
8/5/2018,neutral,-0.005371429
8/6/2018,negative,-0.14396
8/7/2018,neutral,0.00117
8/8/2018,neutral,0.02666
8/9/2018,neutral,-0.01231
8/10/2018,neutral,-0.019845455
8/11/2018,neutral,-0.04383
8/12/2018,positive,0.263628571
8/13/2018,neutral,-0.02049
8/14/2018,negative,-0.13458
8/15/2018,positive,0.07632
8/16/2018,negative,-0.081822222
8/17/2018,neutral,0.039022222
8/18/2018,negative,-0.106225
8/19/2018,positive,0.2747
8/20/2018,neutral,0.0092
8/21/2018,neutral,-0.0077
8/22/2018,neutral,0.03779
8/23/2018,negative,-0.08389
8/24/2018,neutral,0
8/25/2018,neutral,-0.039128571
8/26/2018,negative,-0.0502375
8/27/2018,negative,-0.10797
8/28/2018,negative,-0.11087
8/29/2018,positive,0.11324
8/30/2018,negative,-0.14101
8/31/2018,negative,-0.0769
9/1/2018,neutral,0.04562
9/2/2018,negative,-0.084611111
9/3/2018,neutral,-0.01531
9/4/2018,neutral,-0.036033333
9/5/2018,negative,-0.09904
9/6/2018,neutral,0.00837
9/7/2018,positive,0.1615
9/8/2018,neutral,0.036755556
9/9/2018,negative,-0.153033333
9/10/2018,neutral,0.00968
9/11/2018,negative,-0.18067
9/12/2018,positive,0.13747
9/13/2018,negative,-0.08051
9/14/2018,positive,0.09392
9/15/2018,positive,0.1806
9/16/2018,positive,0.05176
9/17/2018,neutral,-0.003685714
9/18/2018,neutral,-0.00103
9/19/2018,neutral,0.02522
9/20/2018,positive,0.05651
9/21/2018,negative,-0.16171
9/22/2018,neutral,-0.0322125
9/23/2018,negative,-0.0619375
9/24/2018,neutral,0.03007
9/25/2018,positive,0.14414
9/26/2018,neutral,0.01413
9/27/2018,neutral,-0.04427
9/28/2018,neutral,0.01439
9/29/2018,positive,0.0602
9/30/2018,positive,0.232371429
10/1/2018,neutral,-0.042655556
10/2/2018,positive,0.09276
10/3/2018,positive,0.05601
10/4/2018,neutral,-0.01901
10/5/2018,neutral,0.02262
10/6/2018,neutral,0.023316667
10/7/2018,negative,-0.18152
10/8/2018,positive,0.0875
10/9/2018,positive,0.11669
10/10/2018,neutral,0.01794
10/11/2018,negative,-0.07711
10/12/2018,negative,-0.151955556
10/13/2018,negative,-0.052585714
10/14/2018,neutral,0.01164
10/15/2018,negative,-0.18033
10/16/2018,negative,-0.18608
10/17/2018,positive,0.15204
10/18/2018,positive,0.05112
10/19/2018,negative,-0.06194
10/20/2018,negative,-0.146475
10/21/2018,neutral,0.006375
10/22/2018,neutral,0.004430000
10/23/2018,negative,-0.08021
10/24/2018,positive,0.12813
10/25/2018,negative,-0.12902
10/26/2018,positive,0.05967
10/27/2018,positive,0.163533333
10/28/2018,positive,0.05574
10/29/2018,negative,-0.0559
10/30/2018,neutral,-0.0107
10/31/2018,neutral,0.04553
11/1/2018,positive,0.11598
11/2/2018,neutral,-0.032522222
11/3/2018,neutral,-0.00425
11/4/2018,negative,-0.11718
11/5/2018,positive,0.05058
11/6/2018,negative,-0.14128
11/7/2018,positive,0.07549
11/8/2018,neutral,0.049533333
11/9/2018,neutral,0.00395
11/10/2018,negative,-0.141133333
11/11/2018,negative,-0.068466667
11/12/2018,neutral,-0.04027
11/13/2018,negative,-0.16764
11/14/2018,negative,-0.17989
11/15/2018,negative,-0.24318
11/16/2018,negative,-0.07937
11/17/2018,negative,-0.059875
11/18/2018,negative,-0.16895
11/19/2018,negative,-0.10801
11/20/2018,positive,0.0866
11/21/2018,neutral,0.01954
11/22/2018,negative,-0.10905
11/23/2018,neutral,-0.03933
11/24/2018,positive,0.092255556
11/25/2018,negative,-0.15187
11/26/2018,negative,-0.31471
11/27/2018,neutral,-0.03443
11/28/2018,positive,0.08107
11/29/2018,positive,0.193388889
11/30/2018,negative,-0.06768
12/1/2018,neutral,0.0428
12/2/2018,negative,-0.164925
12/3/2018,neutral,-0.00929
12/4/2018,negative,-0.11709
12/5/2018,neutral,-0.003133333
12/6/2018,negative,-0.06542
12/7/2018,neutral,0.0364125
12/8/2018,neutral,0.0147
12/9/2018,positive,0.0543
12/10/2018,positive,0.13577
12/11/2018,positive,0.14272
12/12/2018,neutral,0.00723
12/13/2018,negative,-0.3017
12/14/2018,negative,-0.08654
12/15/2018,positive,0.158216667
12/16/2018,negative,-0.1371875
12/17/2018,positive,0.071411111
12/18/2018,neutral,-0.00552
12/19/2018,negative,-0.08658
12/20/2018,negative,-0.14057
12/21/2018,negative,-0.06778
12/22/2018,positive,0.272533333
12/23/2018,neutral,0
12/24/2018,neutral,0.0163375
12/25/2018,positive,0.090383333
12/26/2018,positive,0.1376625
12/27/2018,negative,-0.156155556
12/28/2018,negative,-0.14389
12/29/2018,neutral,-0.00495
12/30/2018,positive,0.10846
12/31/2018,positive,0.05424
1/1/2019,negative,-0.099433333
1/2/2019,neutral,0.0267
1/3/2019,positive,0.198433333
1/4/2019,neutral,-0.03962
1/5/2019,positive,0.08798
1/6/2019,neutral,-0.005
1/7/2019,positive,0.108544444
1/8/2019,negative,-0.05508
1/9/2019,neutral,0.024644444
1/10/2019,negative,-0.1002
1/11/2019,positive,0.09444
1/12/2019,positive,0.2328
1/13/2019,positive,0.509675
1/14/2019,neutral,-0.01506
1/15/2019,negative,-0.15938
1/16/2019,negative,-0.1265
1/17/2019,positive,0.11117
1/18/2019,negative,-0.15425
1/19/2019,neutral,-0.00959
1/20/2019,negative,-0.23828
1/21/2019,neutral,0.03783
1/22/2019,positive,0.096183333
1/23/2019,neutral,0.03242
1/24/2019,neutral,-0.01114
1/25/2019,neutral,-0.015666667
1/26/2019,positive,0.096842857
1/27/2019,negative,-0.05118
1/28/2019,negative,-0.111255556
1/29/2019,negative,-0.0602
1/30/2019,neutral,0.014155556
1/31/2019,neutral,0.0398
2/1/2019,positive,0.18363
2/2/2019,neutral,0.0289
2/3/2019,negative,-0.160633333
2/4/2019,neutral,0.03415
